month,hour,day_of_week,dow_total,dow_duration
2022-02,9,Saturday,8164,0 days 00:10:37.365507104
2022-02,9,Sunday,4717,0 days 00:09:57.900360398
2022-02,9,Thursday,12324,0 days 00:10:24.863193768
2022-02,9,Tuesday,10670,0 days 00:10:34.980506091
2022-02,9,Wednesday,12615,0 days 00:11:00.147443519
2022-02,10,Friday,6778,0 days 00:10:41.698141044
2022-02,10,Monday,6519,0 days 00:10:22.935879736
2022-02,10,Saturday,11061,0 days 00:11:24.909773076
2022-02,10,Sunday,6775,0 days 00:10:40.972546125
2022-02,10,Thursday,8996,0 days 00:11:00.514228546
2022-02,10,Tuesday,7372,0 days 00:10:43.338849701
2022-02,10,Wednesday,8865,0 days 00:11:23.967061477
2022-02,11,Friday,7307,0 days 00:10:55.862871219
2022-02,11,Monday,7441,0 days 00:11:24.918693723
2022-02,11,Saturday,13691,0 days 00:12:05.897231758
2022-02,11,Sunday,8402,0 days 00:11:11.075101166
2022-02,11,Thursday,8530,0 days 00:11:37.385580304
2022-02,11,Tuesday,7362,0 days 00:11:01.623064384
2022-02,11,Wednesday,9114,0 days 00:11:44.344634628
2022-02,12,Friday,8454,0 days 00:11:09.877217885
2022-02,12,Monday,8750,0 days 00:11:49.836685714
2022-02,12,Saturday,15200,0 days 00:13:14.560065789
2022-02,12,Sunday,9621,0 days 00:11:56.688597858
2022-02,12,Thursday,9842,0 days 00:11:23.110343426
2022-02,12,Tuesday,8858,0 days 00:10:56.870625423
2022-02,12,Wednesday,10739,0 days 00:11:47.430766365
2022-02,13,Friday,9902,0 days 00:11:02.991718844
2022-02,13,Monday,9993,0 days 00:11:55.339837886
2022-02,13,Saturday,15602,0 days 00:13:26.184912190
2022-02,13,Sunday,10550,0 days 00:12:29.197156398
2022-02,13,Thursday,10445,0 days 00:11:25.021158449
2022-02,13,Tuesday,8949,0 days 00:10:46.174544641
2022-02,13,Wednesday,11635,0 days 00:11:44.580403953
2022-02,14,Friday,11400,0 days 00:11:34.186228070
2022-02,14,Monday,11504,0 days 00:12:26.366742002
2022-02,14,Saturday,15857,0 days 00:13:57.325534464
2022-02,14,Sunday,10993,0 days 00:12:42.669789866
2022-02,14,Thursday,11966,0 days 00:11:48.386511783
2022-02,14,Tuesday,8495,0 days 00:10:40.013301942
2022-02,14,Wednesday,13151,0 days 00:12:08.619572656
2022-02,15,Friday,12427,0 days 00:11:33.672406856
2022-02,15,Monday,12253,0 days 00:12:16.066269485
2022-02,15,Saturday,15407,0 days 00:13:36.254754332
2022-02,15,Sunday,11212,0 days 00:12:42.621476988
2022-02,15,Thursday,13639,0 days 00:11:51.130508101
2022-02,15,Tuesday,9822,0 days 00:10:58.752596212
2022-02,15,Wednesday,14977,0 days 00:12:17.901715964
2022-02,16,Friday,13800,0 days 00:11:41.645507246
2022-02,16,Monday,13852,0 days 00:12:07.452425642
2022-02,16,Saturday,14386,0 days 00:13:15.086890031
2022-02,16,Sunday,11002,0 days 00:12:07.820214506
2022-02,16,Thursday,15650,0 days 00:12:09.820894568
2022-02,16,Tuesday,10553,0 days 00:11:03.345494172
2022-02,16,Wednesday,17370,0 days 00:12:35.059988485
2022-02,17,Friday,15564,0 days 00:11:24.547995373
2022-02,17,Monday,16583,0 days 00:11:31.691310378
2022-02,17,Saturday,12456,0 days 00:12:42.041024405
2022-02,17,Sunday,10600,0 days 00:11:52.776037735
2022-02,17,Thursday,19535,0 days 00:12:03.067929357
2022-02,17,Tuesday,13956,0 days 00:11:10.949985669
2022-02,17,Wednesday,23043,0 days 00:12:33.972312632
2022-02,18,Friday,13739,0 days 00:11:06.622097678
2022-02,18,Monday,14411,0 days 00:10:48.546873915
2022-02,18,Saturday,9781,0 days 00:11:27.092628565
2022-02,18,Sunday,8450,0 days 00:10:59.202248520
2022-02,18,Thursday,17976,0 days 00:11:37.425567423
2022-02,18,Tuesday,13311,0 days 00:10:50.381864623
2022-02,18,Wednesday,20223,0 days 00:11:43.932205904
2022-02,19,Friday,10471,0 days 00:10:55.228535956
2022-02,19,Monday,10092,0 days 00:10:10.412504954
2022-02,19,Saturday,7543,0 days 00:11:06.318706085
2022-02,19,Sunday,6151,0 days 00:10:47.399284669
2022-02,19,Thursday,12886,0 days 00:11:01.953748253
2022-02,19,Tuesday,9445,0 days 00:10:23.008681842
2022-02,19,Wednesday,13844,0 days 00:10:47.076711932
2022-02,20,Friday,6977,0 days 00:10:51.831732836
2022-02,20,Monday,6729,0 days 00:10:06.786743944
2022-02,20,Saturday,5415,0 days 00:11:18.436195752
2022-02,20,Sunday,4393,0 days 00:10:29.754609606
2022-02,20,Thursday,8872,0 days 00:10:44.476555455
2022-02,20,Tuesday,6822,0 days 00:10:15.321753151
2022-02,20,Wednesday,9055,0 days 00:10:49.170182219
2022-02,21,Friday,4935,0 days 00:10:40.384802431
2022-02,21,Monday,4453,0 days 00:10:04.227711655
